tconst	directors	writers
tt0056714	nm0593014	nm0409467,nm0793753
tt0056725	nm0145336	nm0751400,nm0439268
tt0056731	nm0222545	nm0173953,nm0222545
tt0056732	nm0000320	nm0000320,nm0017274
tt0056733	nm0803672	nm0803672
tt0056734	nm0850466	nm0850466
tt0056735	nm0489155	nm0489155,nm0489233
tt0056736	nm0000774	nm0000774,nm0346096,nm0059026,nm0653189
tt0056796	nm0145336	nm0226889,nm1000966
tt0056800	nm0337885,nm0712947	nm0357607,nm0948634,nm0330024,nm0059553
tt0056801	nm0000019	nm0000019,nm0280919,nm0684083,nm0740021
tt0056802	nm0346436	nm0355261,nm0346436
tt0056804	nm0702410	nm0723127,nm0193785,nm0702410
tt0056810	nm0770196	nm0366454,nm0770196
tt0056811	nm0210701	nm0208760,nm0210701
tt0056815	nm0217035	nm0217035,nm1365877,nm0759232
tt0056818	nm0781751	nm0608399,nm0012938,nm0718448
tt0056819	nm0351842	nm0138471,nm0351842,nm0465547
tt0056823	nm0705444	nm0379332,nm0705444
tt0056825	nm0001415	nm0001415
tt0056836	nm0948950	nm6796486,nm0948950
tt0056844	nm0419237	nm0106404,nm0419237,nm0921276
tt0056845	nm0578483	nm0578483,nm0799442
tt0056846	nm0218840	nm0218840
tt0056847	nm0834334	nm8026504,nm0312792,nm0534693
tt0056850	nm0746950	nm0418577,nm0315905,nm0536819
tt0056854	nm0927090	nm0927090
tt0056856	nm0921631	nm0921631
tt0056860	nm0038906	nm0750870
tt0056868	nm0772259	nm0913961,nm0356227
tt0056869	nm0000033	nm0238898,nm0402805
tt0056870	nm0779670	nm0358096,nm0932477
tt0056872	nm0330036	nm0169432,nm0437189
tt0056874	nm0173806	nm0445916,nm0589131,nm0447177
tt0056875	nm0504496	nm0235905,nm0293354,nm0504496
tt0056876	nm0673051	nm0673051,nm0735172
tt0056883	nm0001120	nm0953790
tt0056885	nm0812613	nm0376215,nm0895948,nm0812613
tt0056886	nm0533241	nm0133627,nm0134043
tt0056891	nm0796645	nm0829661,nm0106505,nm0796645
tt0056892	nm0002216	nm0102030
tt0056894	nm0727211	nm0122446,nm0779333
tt0056897	nm0235066	nm0597578,nm0367820,nm0480048,nm1162927
tt0056898	nm0548072	nm0217154,nm0548072,nm0952644
tt0056903	nm0588183	nm0106764,nm0258290,nm0258288,nm0744576
tt0056904	nm0005738	nm0402848,nm0256880
tt0056905	nm0000419	nm0429778,nm0000419,nm0344171,nm0744023
tt0056906	nm0089958	nm0853456,nm0440818,nm0002192
tt0056907	nm0695937	nm0236544,nm0732675,nm0488057
tt0056908	nm0058826	nm0338521,nm0058826,nm0661577,nm0854339
tt0056910	nm0006445	nm0006445
tt0056912	nm0858873	nm0745349,nm0338313,nm0385139
tt0056914	nm0307819	nm0860775
tt0056917	nm0894577	nm0002192,nm0892071,nm0894577,nm0003340
tt0056918	nm0002131	nm0340190,nm0059553,nm0002131,nm0265995
tt0056919	nm0001232	nm0001232,nm0660522
tt0056921	nm0245213	nm0153777,nm0245213,nm0054748
tt0056923	nm0002045	nm0832099,nm0066939
tt0056924	nm0025926	nm0858557,nm0436914,nm0025926
tt0056925	nm0001238	nm0264033,nm0001238,nm0780983,nm0167966
tt0056927	nm0092330	nm0049838,nm0905539
tt0056930	nm0001023	nm0542631
tt0056931	nm0494903	nm0109300,nm0943909
tt0056937	nm0000581	nm0000581,nm0532030,nm0118227,nm1306202,nm1306711,nm1304029,nm0291880,nm0372942
tt0056939	nm0381870	nm0814242
tt0056940	nm0005570	nm0800319,nm0005131
tt0056941	nm0505610	nm0731679,nm0322496
tt0056942	nm0707597	nm0947343,nm0370994
tt0056943	nm0869664	nm0558577,nm2466874
tt0056945	nm0598102	nm0408488,nm0769249,nm0598102
tt0056950	nm0275034	nm0215589,nm0258568,nm0275034
tt0056952	nm0164999	nm0164999,nm0496942,nm0589499,nm0744035
tt0056955	nm0006615	nm0317232,nm0508792
tt0056956	nm0591486	nm0310775,nm0865009
tt0056957	nm0514822	nm0894946,nm0896830,nm0923839,nm0238610
tt0056960	nm0779670	nm0777331,nm0236867,nm0915201
tt0056961	nm0834744	nm0406857,nm0834744,nm0186510,nm1255905
tt0056963	nm0319241	nm0319241
tt0056964	nm0918659	nm0505615,nm0792042
tt0056966	nm0958801	nm0695390,nm0958801,nm0592934
tt0056967	nm0503615	nm0032190,nm0330024
tt0056969	nm0335093	nm0529732,nm0529710,nm0543733,nm0144485
tt0056975	nm0849474	nm0454119,nm0782883,nm0946672
tt0056981	nm0838757	nm0838757
tt0056982	nm0301145	nm0301145,nm0377958
tt0056983	nm0000338	nm0000338,nm0384335
tt0056987	nm0352961	nm0181854,nm0352961
tt0056989	nm0840671	nm0945692,nm1143207
tt0056993	nm0494110	nm0560943,nm0448839
tt0056995	nm0689121	nm0814242
tt0056998	nm0764314,nm0712544	nm1541014
tt0056999	nm0755963	nm0883017,nm0928915
tt0057004	nm0859387	nm0681043,nm0861304,nm0330546
tt0057006	nm0274659	nm0044156,nm0274659
tt0057007	nm0000406	nm0637793,nm0335455,nm0069410,nm0585151
tt0057011	nm0431295	nm0044936,nm0229321,nm0638254
tt0057012	nm0000040	nm0000040,nm0816143,nm0313570
tt0057013	nm0053084	nm0053084,nm0066159,nm0647373
tt0057015	nm0164044	nm0261911,nm0388554
tt0057016	nm0087681	nm0697779,nm0051649,nm0087681
tt0057026	nm0757790	nm0255425,nm0290050,nm0305547,nm0536238,nm0729448,nm0757790
tt0057035	nm0680109	nm0680109
tt0057036	nm0290371	nm0290371
tt0057038	nm0545217	nm0130397,nm0545217,nm0884152
tt0057047	nm0000540	nm0000540
tt0057049	nm0135730	nm0135730,nm0220383,nm0471341,nm0688218
tt0057051	nm0320833	nm0897505,nm0320833,nm0764583
tt0057055	nm0779670	nm0203766,nm0090014
tt0057058	nm0001501	nm0478934,nm0001501
tt0057060	nm0179281	nm0093501,nm0342118,nm0179278
tt0057063	nm0164044	nm0115202,nm0184689,nm0918918
tt0057066	nm0861703	nm0152000,nm0651559,nm0045512
tt0057067	nm0330456	nm0548378,nm0606806
tt0057069	nm0422484	nm0362992,nm0750357
tt0057071	nm0000736	nm0792597,nm0000736,nm0122446
tt0057073	nm0001692	nm0616829,nm0143922,nm0107968,nm0817624
tt0057076	nm0950109	nm0537363,nm0367820,nm0001220,nm0558435
tt0057078	nm0000878	nm0002759,nm0346097,nm0553916
tt0057080	nm0715862	nm0618113,nm6428240,nm0586910,nm0576830
tt0057082	nm0306295,nm0171590	nm0684335,nm0033879
tt0057083	nm0861703	nm0918902
tt0057085	nm0319241	nm0319241
tt0057089	nm0804734,nm0388956	nm0194472,nm0388956,nm0804734
tt0057090	nm0542720	nm0685265,nm0058905
tt0057091	nm0899581	nm0223943,nm0147599,nm0275269,nm0575804,nm0290050,nm0899581
tt0057093	nm0506187	nm0427960,nm0005062,nm0942723,nm0506187
tt0057095	nm0331964	nm0065336,nm1807881,nm0345409,nm0652811,nm0918300
tt0057098	nm0001905	nm0957652,nm0816458
tt0057100	nm0920862	nm0282437,nm0016534,nm0262368,nm0463430
tt0057101	nm0728271	nm0144689,nm0595063,nm0728271
tt0057102	nm0746740	nm0818765,nm0271524,nm0746740
tt0057103	nm0874295	nm0668382,nm0461119,nm0132767
tt0057105	nm0090557	nm2471712,nm0220383,nm0778644,nm0383318
tt0057106	nm0147265	nm0147265,nm0419986,nm0816458
tt0057109	nm0001536	nm0452878
tt0057111	nm0504496	nm0426442
tt0057112	nm0916977	nm0001115
tt0057114	\N	nm0181192,nm0453170,nm0877020
tt0057115	nm0836328	nm0108595,nm0165412,nm0122446
tt0057120	nm0159148	nm0015296
tt0057121	nm0524995	nm0374268,nm0077121,nm0824342
tt0057122	nm0746740	nm0153698,nm0153814,nm0721655
tt0057127	nm0445454	nm0229732
tt0057128	nm0000339	nm0064579,nm0000590,nm0522454,nm0000338
tt0057129	nm0936404	nm0317254,nm0414047
tt0057130	nm0477702	nm0324506,nm0477702
tt0057134	nm0099592,nm0099589	nm0367519,nm0099589,nm0611193
tt0057138	nm0953960	nm0826452,nm0908550
tt0057140	nm0640226	nm0640226
tt0057147	nm0735879	nm0735879,nm0819485,nm1047690,nm0211993,nm0602540,nm0307408
tt0057152	nm0780833	nm0441194,nm0219281
tt0057153	nm0625383	nm0448839
tt0057155	nm0210130	nm0342118,nm0179278,nm0000590,nm0953550
tt0057156	nm0279807	nm0751400
tt0057160	nm0223317	nm0189171
tt0057162	nm0412465	nm0695609
tt0057163	nm0728688	nm0712419,nm0290809,nm0573505
tt0057165	nm0050853	nm0050853
tt0057168	nm0623768	nm0236544,nm0800294,nm0001958
tt0057171	nm0001120	nm0208370,nm0702898,nm0603179,nm0953790,nm0082303,nm1066919
tt0057176	nm0730237	nm0730237
tt0057178	nm0828720	nm0731409,nm0259932
tt0057180	nm0548529	nm0019282,nm0122484
tt0057181	nm0824306	nm0689377,nm0798102,nm0450693
tt0057182	nm0287988	nm0287988,nm2023700
tt0057183	nm0901138	nm0908624,nm0677457,nm0403346
tt0057187	nm0000697	nm0106810,nm0000697,nm0224634
tt0057189	nm0196536	nm0777202,nm0441197
tt0057191	nm0851537	nm0741676,nm0414633
tt0057193	nm0006452	nm0741740,nm0741704
tt0057196	nm0367860	nm0105052
tt0057197	nm0149548	nm0713833,nm0189117,nm0722559
tt0057200	nm0038906	nm0484923,nm0574123
tt0057202	nm0003408,nm0005774	nm0003408,nm0890051
tt0057207	nm0290802	nm0077220,nm0275421,nm0150762,nm0479838
tt0057212	nm0473791	nm0407474
tt0057215	nm0559398,nm0393094	nm0782883,nm0651904,nm0464608
tt0057218	nm0359869	nm1208805,nm0359869
tt0057219	nm0840671	nm1463873,nm0944906
tt0057220	nm0079906	nm0079906,nm0344873,nm0646509
tt0057225	nm0496746	nm0036433,nm0916139
tt0057226	nm0789033	nm0385573
tt0057227	nm0625383	nm0010987,nm0625383
tt0057229	nm0313745	nm0301613
tt0057230	nm0001232	nm0001232,nm0664852
tt0057232	nm0592807,nm0514816	nm1431954
tt0057237	nm0927090	nm0927090
tt0057238	nm0475542	nm0945257
tt0057239	nm0285302	nm0052209,nm0285302
tt0057241	nm0005826	nm0675728,nm5246872
tt0057242	nm0675068	nm0675052,nm0225454
tt0057244	nm0002089	nm0293400
tt0057247	nm0288975	nm0717977
tt0057248	nm0497379	nm0497379
tt0057251	nm0625680	nm0688117,nm0057315
tt0057254	nm0001379	nm0892044,nm0531878,nm0178785
tt0057259	nm0002153	nm0558435,nm0189117,nm0071084
tt0057261	nm0111656	nm0325717,nm0111656
tt0057262	nm0842582	nm0362698,nm0842582,nm0907186,nm0907209
tt0057263	nm0612322	nm0776068
tt0057268	nm0292720	nm0321431,nm0080755,nm0682592
tt0057270	nm0538987	nm0220383,nm0538987
tt0057271	nm0526971	nm0316363,nm0769121,nm0208332
tt0057273	nm0103192	nm0072076,nm0587213
tt0057274	nm0677880	nm0408488,nm0769249,nm0677880,nm0557885
tt0057277	nm0006249	nm0593954,nm0006249
tt0057278	nm0335093	nm0335093,nm0730648,nm0799442
tt0057280	nm0557840	nm0884547,nm0002759,nm0215450,nm0494257,nm0599389
tt0057284	nm0850895	nm0087861,nm0615080
tt0057286	nm0742940	nm0742940,nm0478431,nm0699039,nm0285451
tt0057289	nm0144677	nm0073053,nm0144677,nm0207401
tt0057291	nm0657239	nm0657212,nm0664657,nm0753763
tt0057293	nm0503777	nm0449728,nm0106764
tt0057295	nm0393094	nm0454119,nm0395948,nm0298040,nm0388300,nm0464596
tt0057298	nm0572132	nm0335455
tt0057301	nm0440350,nm0462122	nm0073448,nm0094147,nm0440350,nm0462122
tt0057302	nm0090507	nm0090507,nm0800547
tt0057303	nm0002193	nm0042179,nm0098204,nm0383604
tt0057307	nm0468002	nm0519508,nm0786958,nm2646978,nm0890825
tt0057311	nm0213136	nm0447860
tt0057312	nm0002137	nm0139218,nm0687998
tt0057317	nm0179281	nm0179278,nm0342118,nm0546572
tt0057318	nm10304264,nm0146974,nm0415059	nm0146974,nm0415059
tt0057323	nm0728271	nm0408488,nm0769249,nm0677880,nm0728271,nm0778633,nm0531431
tt0057327	nm0744364	nm0152679,nm0744364
tt0057328	nm0504513	nm0926728,nm0675728
tt0057329	nm0330456	nm0437900,nm0792042,nm0818415,nm0818416,nm0564970
tt0057333	nm0273178	nm0273178,nm0958692
tt0057334	nm0689659	nm0146896,nm0002005
tt0057336	nm0720297	nm0147321
tt0057341	nm0150706	nm0266899,nm0130773,nm0940083,nm4388032
tt0057344	nm0894577	nm0002192,nm0548579,nm0800631
tt0057345	nm0000419	nm0603179,nm0000419
tt0057357	nm0149631	nm0008131,nm0149631,nm1548504,nm0958573,nm0252757,nm0536914
tt0057358	nm0000005	nm0000005
tt0057360	nm0789520	nm0789520
tt0057362	nm0733476	nm0317254,nm0938688
tt0057363	nm0408076	nm0367913,nm0408076
tt0057370	nm0054219	nm0054219,nm7454074,nm0766042
tt0057371	nm0858873	nm0121734,nm0399726
tt0057372	nm0001471	nm0001471,nm0725075
tt0057374	nm0161615	nm0161615
tt0057378	nm0750701	nm0831580,nm0216787,nm0351444,nm0750701
tt0057379	nm0145336	nm0226889,nm0697362
tt0057380	nm0293707	nm0562015,nm0283780,nm0826452
tt0057381	nm0417352	nm0379795,nm0417352,nm0501869
tt0057383	nm0621540	nm0440383
tt0057384	nm0179281	nm0179278,nm0342118,nm0537711,nm0582706,nm0896583,nm0346061
tt0057387	nm0137124	nm0866634
tt0057388	nm0760353	nm0760353,nm0899630,nm0899551
tt0057391	nm0292720,nm0211964,nm0162970	nm0162970,nm0483855,nm0674135,nm0786547
tt0057393	nm0554169	nm0106764,nm0790591,nm0280909,nm0233055
tt0057394	nm0710524	nm0404174,nm0467594
tt0057396	nm0851537	nm0358839
tt0057400	nm0550892	nm0341464,nm0741439
tt0057401	nm0005711	nm0762727,nm0856758
tt0057405	nm0649096	nm0099429,nm0649096,nm0767110,nm0930241
tt0057413	nm0001175	nm0725009,nm0001175
tt0057414	nm0491626	nm0917436,nm0491626,nm0437941,nm0002192
tt0057415	nm0213136	nm0279690,nm0718838,nm0264088
tt0057422	nm0320833	nm0897505,nm0320833
tt0057423	nm0674529,nm0105693	nm0105693,nm0674529
tt0057426	nm0733476	nm0499626,nm0908683
tt0057427	nm0000080	nm0158971,nm0434525,nm0000080
tt0057428	nm0233014	nm0919675,nm0634749,nm0790943
tt0057434	nm0384965	nm0589238,nm0384965,nm0748111,nm0366991,nm0855096
tt0057435	nm0838725	nm0642973,nm0359437
tt0057441	nm0869427	nm0528452,nm0869427
tt0057442	nm0001596,nm0345363	nm0345363,nm0001596
tt0057443	nm0000878	nm0208086,nm0179281,nm0211373,nm0346314,nm0698779,nm0000878
tt0057444	nm0173728	nm0284503,nm0144337,nm0173728,nm0540816
tt0057446	nm0202297	nm0177731
tt0057447	nm0439597	nm0392510,nm0731387,nm0128845,nm0003198
tt0057449	nm0000339	nm0558577,nm0000590
tt0057458	nm0873541	nm0490950,nm0055726
tt0057460	nm0179281	nm0553916,nm0179281,nm0208086,nm0744081,nm0856319,nm0001466,nm0093501
tt0057463	nm0715346	nm0607876,nm0809949
tt0057465	nm0484824	nm0484824
tt0057467	nm0502391	nm0195339,nm0502391,nm0538987,nm0191547
tt0057468	nm0403126	nm0908624,nm0001676,nm0403126,nm0442562,nm0869935
tt0057469	nm0502391	nm0146033,nm0317232,nm0502391,nm0758215
tt0057471	nm0760635,nm0086466	nm0086466,nm0302055,nm0692180
tt0057473	nm0865709	nm0320564,nm0876564
tt0057476	nm0331964	nm0908624,nm0434987,nm0331964
tt0057479	nm0003904	nm0908550,nm0415167,nm0283780
tt0057480	nm0504496	nm0504496
tt0057485	nm0023747	nm0023747,nm0800548
tt0057489	nm0645477	nm0645477,nm0762955,nm0782883
tt0057490	nm0521334	nm0056217,nm0560855
tt0057494	nm0455839	nm0455839
tt0057495	nm0002087	nm0002087
tt0057497	nm0819806	nm0362465
tt0057500	nm0432846	nm0463385,nm0454167,nm0540627
tt0057503	nm0849080	nm0409467,nm0793753
tt0057504	nm0173806	nm0265596,nm0787894
tt0057507	nm0290118	nm0290118
tt0057513	nm0434443,nm0460033	nm0264510,nm0434443,nm0460033,nm0594877
tt0057514	nm0311179	nm0311179
tt0057516	nm0582543	nm0709101,nm0433971
tt0057517	nm0625680	nm0725009,nm0001175,nm0001279
tt0057518	nm0829038	nm0909556,nm0196119,nm0853139,nm0039107,nm0930865
tt0057521	nm0514763	nm0146237,nm0514763
tt0057522	nm0292720	nm0080755,nm0292720
tt0057523	nm0202681	nm0358839,nm0202681
tt0057525	nm0301863	nm0722991,nm0888954
tt0057527	nm0392519	nm0166018,nm0285302,nm0551726
tt0057530	nm0038895	nm0203766,nm0936295,nm0090014,nm0504087
tt0057531	nm0677951	nm0108108,nm0088602,nm0922143,nm0371092
tt0057532	nm0274659	nm0661650,nm0044156,nm0274659,nm0264420,nm0275269,nm0290050
tt0057535	nm0002086	nm0002086,nm0582706
tt0057536	nm0688646	nm0610038,nm0688646,nm0797575
tt0057537	nm0769874	nm0408718,nm0731409
tt0057539	nm0051926	nm0296306,nm0296305
tt0057540	nm0728271,nm0603129	nm0531431,nm0778633
tt0057541	nm0946811	nm0616829,nm0143922
tt0057542	nm0624809	nm0072639,nm0927752
tt0057543	nm0856715	nm0469915
tt0057544	nm0756926	nm0691229
tt0057546	nm0718627,nm0359457,nm0314671	nm0670328,nm0925493
tt0057547	nm0664273	nm0770337,nm0664273
tt0057549	nm0220227	nm0320510,nm0220227,nm0767110,nm0970033
tt0057553	nm0406728	nm1431693,nm0905271
tt0057555	nm0755500	nm0416078,nm1352005
tt0057556	nm0467396	nm0258290,nm0258288,nm0425913
tt0057558	nm0445650	nm0110958
tt0057560	nm0206560	nm0123194,nm0206560,nm0318428
tt0057565	nm0000041	nm0644823,nm0452878,nm0386750,nm0000041,nm0402805
tt0057568	nm0025629	nm0025629
tt0057569	nm0000339,nm8466308,nm0000338,nm0384335,nm0000197,nm0375494,nm0415911	nm0330388,nm0384335,nm0000339
tt0057574	nm0110133	nm0713833
tt0057577	nm0370868	nm0532805,nm0562778
tt0057578	nm0000755	nm0832456
tt0057579	nm0149548	nm0922589,nm0302904
tt0057580	nm0560816	nm0560816,nm0880493,nm0894523
tt0057581	nm0422484	nm0005348,nm0312205
tt0057582	nm0498816	nm0222782,nm0000197
tt0057583	nm0796645	nm0282437,nm0527417
tt0057590	nm0724798	nm0651570,nm0276145
tt0057591	nm0491626	nm0002192,nm0491626,nm0800631
tt0057594	nm0826642	nm0179278,nm0342118,nm0144674
tt0057595	nm0148486	nm0148486,nm0179278,nm0342118
tt0057598	nm0001351	nm0375484,nm0688117
tt0057603	nm0000878	nm0155009,nm0866239,nm0560943,nm0284503,nm0079748,nm0000878
tt0057608	nm0758508	nm0370426,nm0448839
tt0057609	nm0755963	nm0219281,nm0223238
tt0057611	nm0000005	nm0000005
tt0057616	nm0006620	nm0785843,nm0006620,nm0610038
tt0057619	nm0504641	nm0320274
tt0057620	nm0121169	nm0155009,nm0307799
tt0057622	nm0842582	nm0738710,nm0842582
tt0057623	nm0471420	nm0138223,nm0284822
tt0057628	nm0800547	nm0553916,nm0162572,nm0002759
tt0057634	nm0002190	nm0711905
tt0057637	nm0745498	nm0324690,nm0745498
tt0057638	nm0216381	nm0035127,nm0042179,nm0073053,nm0207401,nm0216381
tt0057642	nm0733846	nm0103870,nm0733846
tt0057643	nm0305557	nm0305557,nm0044156,nm0280919
tt0057646	nm0546672	nm0091559,nm0002759,nm0344933,nm0546672
tt0057652	nm0286025	nm0056192,nm0286025
tt0057654	nm0673051	nm0673051,nm0708632
tt0057656	nm0147265	nm0041279,nm0147265,nm0764583
tt0057664	nm0682881	nm0211457,nm0211459,nm0531431,nm0778633,nm0682881
tt0057667	nm0934013	nm1044472,nm0484923
tt0057669	nm0785185	nm0407426,nm0407351
tt0057676	nm0718243	nm0251912,nm0918300
tt0057677	nm0935382	nm0913961,nm0356227,nm2510406
tt0057678	nm0140257	nm0458640,nm0140257
tt0057681	nm0002137	nm0329076,nm0908923
tt0057682	nm0542702	nm0741439
tt0057683	nm0850895	nm0850895,nm0876223
tt0057687	nm0718243	nm0562015,nm0677457
tt0057688	nm0723664	nm0030019,nm0696319
tt0057692	nm0718243	nm0283780,nm0436914,nm0908550
tt0057693	nm0000339	nm0226889,nm0751400
tt0057694	nm0199381	nm0795312
tt0057695	nm0002156	nm0241510,nm0002156
tt0057697	nm0840671	nm0407426,nm1250332,nm1143207
tt0057701	nm0548362	nm0548362
tt0057706	nm0000339	nm0132790
tt0057709	nm0528927	nm0203477,nm0493446,nm0806223
tt0057710	nm0406728	nm0586350,nm0411866,nm0455938,nm0905271
tt0057713	nm0944529	nm0745499,nm0944529
tt0057714	nm0946638	nm0409467,nm0793753
tt0057715	nm0849080	nm0395961,nm0793753
tt0057716	nm0621667	nm0018197
tt0057717	nm0831590	nm0800659,nm0831590
tt0057718	nm0901138	nm0908624,nm0677457
tt0057724	nm0096180	nm0767163,nm0096180,nm0156845
tt0057725	nm0433267	nm0433267
tt0057805	nm0002086	nm0225128,nm0582706,nm0813147
tt0057808	nm0634749	nm0569431,nm0634749
tt0057809	nm0780833	nm0780833,nm0001094,nm0386973,nm0888542
tt0057810	nm0803672	nm0351432,nm0803672
tt0057811	nm0336139	nm0165412,nm0462321,nm0808250
tt0057812	nm0657162	nm0064579,nm0278269,nm0372942
tt0057813	nm0318150	nm0449077,nm0876562
tt0057816	nm0475105	nm0475105,nm0478084,nm0634456
tt0057820	nm0550892	nm0670268,nm0101115,nm0769627,nm0150217,nm0308604
tt0057829	nm0408076	nm1024346,nm0367913,nm0408076
tt0057831	nm0128050	nm0443611,nm0128050
tt0057834	nm0223622,nm0853456	nm0112534,nm0143571,nm0223622,nm0478327,nm11047401,nm0853456,nm0927619
tt0057840	nm0002137	nm0154665,nm0401239
tt0057841	nm0098208	nm0098208,nm0187135
tt0057842	nm0216381	nm0042179,nm0098204,nm0678981
tt0057844	nm0769334	nm0700659,nm0769334,nm0813147
tt0057846	nm0096180	nm0326624,nm0326625,nm0115892,nm0096180,nm0181928,nm0099429
tt0057851	nm0936823	nm0807654,nm0303930,nm0770337
tt0057853	nm0767110	nm0930241,nm0767110,nm0253417,nm0529709,nm0002192,nm0225128
tt0057858	nm0246473	nm0305885,nm0652679
tt0057859	nm0556140,nm0689565	nm0751500,nm0103084,nm0226946,nm0689565
tt0057864	nm0375494	nm0349748,nm0352467
tt0057869	nm0000419	nm0386900,nm0000419
tt0057870	nm0491626	nm0002192,nm0800631
tt0057872	nm0939674	nm0303362,nm0800882
tt0057875	nm0912238	\N
tt0057876	nm0424406	nm0424406
tt0057877	nm0322706	nm0030478,nm0384488,nm0030019
tt0057878	nm0506589	nm0788630,nm0377417
tt0057879	nm0003593	nm0696247,nm0582837
tt0057880	nm0519882	nm0519882
tt0057883	nm0769874	nm0000683
tt0057887	nm0038906	nm0038906,nm0870150,nm0226889
tt0057889	nm0503594	nm0341253,nm0503594,nm0503613,nm0338233
tt0057890	nm0366708	nm0285610,nm0285617
tt0057891	nm0758508	nm0360221,nm0448839
tt0057892	nm0313745	nm0287566
tt0057894	nm0954724	nm0433059,nm0473128,nm0534181,nm0810646,nm0954724
tt0057897	nm0445650	nm0110958,nm0030694
tt0057899	nm0577263,nm0539652	nm0114014
tt0057904	nm0182244	nm0834271,nm0553916,nm0002759,nm0013244,nm0529732
tt0057905	nm0819806	nm0016549,nm0932242,nm0932248
tt0057917	nm0229424	nm0730356,nm0371088
tt0057918	nm0858873	nm0745349,nm0000636
tt0057919	nm0858873	nm0745349
tt0057920	nm0858873	nm0745349,nm0171523
tt0057924	nm0754575,nm0723226	nm0556487,nm0754575,nm0036053,nm0716262
tt0057926	nm0381638	nm0071816,nm0537784
tt0057930	nm0160108	nm0441194,nm0160108,nm0546224,nm0419986
tt0057933	nm0623768	nm0371088,nm0046779
tt0057935	nm0006249	nm0007173,nm0006249
tt0057936	nm0596850	nm0733932,nm0350254,nm0800631,nm0243721,nm0002192
tt0057937	nm0343918	\N
tt0057938	nm0144674,nm0018159,nm0381870	nm0179278,nm0342118,nm0018159
tt0057940	nm0000406	nm0762207,nm0916139,nm0268779
tt0057941	nm0645477	nm0645477,nm0756944
tt0057942	nm0000972	nm0033490,nm0000972,nm0299295
tt0057952	nm0368871	nm0372942,nm0956571,nm0335455,nm0330024,nm0712947,nm0948634
tt0057954	nm0528790	nm0869935,nm0892107,nm0908624
tt0057960	nm0001596	\N
tt0057962	nm0778633	nm0531431,nm0778633
tt0057963	nm0346436	nm0612232,nm0346436
tt0057964	nm0274659,nm0144677,nm0744185	nm0953790,nm0073053,nm0207401,nm0274659,nm0044156,nm0346096,nm0759480,nm0144677
tt0057965	nm0002216	nm0102030,nm0002216,nm0738653
tt0057967	nm0653620	nm0653620,nm0003340,nm0845969,nm0845966
tt0057974	nm0838725	nm0607322,nm0915201
tt0057977	nm0269420	nm0269420,nm0433056
tt0057984	nm0794843	nm0166018,nm0888538
tt0057985	nm0855096	nm0366991,nm0855096
tt0057986	nm0140257	nm0140257
tt0057988	nm0304098	nm0304098,nm0305863,nm0225128
tt0057991	nm0752922	nm0302090,nm0489642
tt0057993	nm0179281,nm0546672	nm0342118,nm0179278,nm0000590,nm0179281
tt0057997	nm0002134	nm0067135,nm0587743,nm0416861
tt0057999	nm0542720	nm0608399
tt0058000	nm0430854,nm0597265	nm0430854,nm0824216
tt0058001	nm0625866	nm0527321,nm0625866
tt0058003	nm0000774	nm0000774,nm0346096
tt0058006	nm0733790	nm0510623,nm0733790,nm0811689
tt0058007	nm0794843	nm0455785,nm0895446,nm0808250
tt0058011	nm0789033	nm0762727
tt0058017	nm0000972	nm0814242
tt0058018	nm0850895	nm0850895,nm0509406,nm0351933
tt0058019	nm0909825	nm0878605,nm0275848,nm0067135,nm0394633
tt0058021	nm0626354	nm0564759,nm1184427
tt0058022	nm0459552	nm0526733,nm0638256
tt0058024	nm0310670,nm0428572,nm0192157,nm0623401	nm0384613,nm0253882,nm0089286
tt0058029	nm0845661	nm0159726,nm0693702,nm0826709,nm0888965
tt0058037	nm0586399	nm0586399,nm0737257
tt0058038	nm0389219	nm0324506,nm0666710,nm0126764
tt0058043	nm0128764	nm0024589,nm0107664,nm0498746
tt0058050	nm0279807	nm0189171
tt0058056	nm0856715	nm0139218,nm0477696
tt0058060	nm0517597	nm0373764,nm0517597,nm0270517
tt0058062	nm0163034	nm0163034,nm0215450,nm0849768
tt0058063	nm0659992	nm0553916,nm0659992
tt0058067	nm0948950	nm0948950
tt0058073	nm0005711	nm0385573
tt0058075	nm0494110	nm0805748,nm0900134
tt0058079	nm0692414,nm0912876,nm0554924	nm0306238,nm0554924,nm0757667,nm0912876,nm0297414
tt0058083	nm0001486	nm0077159,nm0120969,nm0923838,nm0313570
tt0058084	nm0461497	nm0292504
tt0058085	nm0542649	nm0059553,nm0289974,nm0948634,nm6242804
tt0058088	nm0428572,nm0000540	nm0165987,nm0384613
tt0058089	nm0402161	nm0816232,nm0019855,nm0354677,nm0288218
tt0058090	nm0494756	nm0494756,nm0728126
tt0058091	nm0625680	nm0304418,nm0575547
tt0058092	nm0625680	nm0832099,nm0850514,nm0055975
tt0058095	nm0582543	nm0092501,nm0582543
tt0058100	nm0432846	nm0460600,nm0713833,nm0920229
tt0058101	nm0193359	nm0236854
tt0058104	nm0027183	nm0036433,nm0759029
tt0058105	nm0072561	nm0868974,nm0115202,nm0184689,nm0037734
tt0058106	nm0711859	nm0734150,nm0711859
tt0058110	nm0554169	nm0641199,nm0641197,nm0064585
tt0058113	nm0546672	nm0035208,nm0292295,nm0698782,nm0762822,nm0883213
